cell	seurat_clusters	celltype
c1269	4	eL5
c1270	2	eL6
c1271	5	Astro
c1272	5	Astro
c1273	6	eL4
c1274	9	eL2/3
c1275	10	eL2/3
c1276	10	eL2/3
c1277	3	Oligo
c1278	2	eL6
c1279	6	eL4
c1280	13	Smc
c1281	5	Astro
c1282	2	eL6
c1283	6	eL4
c1284	5	Astro
c1285	5	Astro
c1286	12	Micro
c1287	4	eL5
c1288	2	eL6
c1289	2	eL6
c1290	8sub2	SST
c1291	12	Micro
c1292	6	eL4
c1293	2	eL6
c1294	9	eL2/3
c1295	7	eL4
c1296	2	eL6
c1297	7	eL4
c1298	2	eL6
c1299	7	eL4
c1300	1	Endo
c1301	13	Smc
c1302	3	Oligo
c1303	5	Astro
c1304	4	eL5
c1305	10	eL2/3
c1306	3	Oligo
c1307	4	eL5
c1308	2	eL6
c1309	4	eL5
c1310	5	Astro
c1311	2	eL6
c1312	7	eL4
c1313	5	Astro
c1314	10	eL2/3
c1315	13	Smc
c1316	2	eL6
c1317	8sub1	PVALB
c1318	3	Oligo
c1319	3	Oligo
c1320	9	eL2/3
c1321	11	Oligo
c1322	3	Oligo
c1323	7	eL4
c1324	5	Astro
c1325	6	eL4
c1326	9	eL2/3
c1327	8sub3	VIP
c1328	8sub1	PVALB
c1329	2	eL6
c1330	8sub4	RELN
c1331	10	eL2/3
c1332	3	Oligo
c1333	6	eL4
c1334	10	eL2/3
c1335	4	eL5
c1336	10	eL2/3
c1337	10	eL2/3
c1338	13	Smc
c1339	13	Smc
c1340	1	Endo
c1341	6	eL4
c1342	5	Astro
c1343	3	Oligo
c1344	1	Endo
c1345	8sub4	RELN
c1346	3	Oligo
c1347	9	eL2/3
c1348	7	eL4
c1349	10	eL2/3
c1350	10	eL2/3
c1351	3	Oligo
c1352	6	eL4
c1353	9	eL2/3
c1354	4	eL5
c1355	7	eL4
c1356	7	eL4
c1357	8sub2	SST
c1358	10	eL2/3
c1359	3	Oligo
c1360	2	eL6
c1361	8sub5	NPY
c1362	11	Oligo
c1363	4	eL5
c1364	4	eL5
c1365	12	Micro
c1366	1	Endo
c1367	6	eL4
c1368	12	Micro
c1369	2	eL6
c1370	2	eL6
c1371	7	eL4
c1372	3	Oligo
c1373	1	Endo
c1374	5	Astro
c1375	3	Oligo
c1376	11	Oligo
c1377	7	eL4
c1378	3	Oligo
c1379	8sub4	RELN
c1380	10	eL2/3
c1381	2	eL6
c1382	2	eL6
c1383	1	Endo
c1384	7	eL4
c1385	3	Oligo
c1386	13	Smc
c1387	7	eL4
c1388	5	Astro
c1389	10	eL2/3
c1390	2	eL6
c1391	6	eL4
c1392	4	eL5
c1393	7	eL4
c1394	3	Oligo
c1395	12	Micro
c1396	11	Oligo
c1397	2	eL6
c1398	4	eL5
c1399	13	Smc
